,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
7227,2021-08-29 18:48,Major Lazer,Sua Cara (feat. Anitta & Pabllo Vittar),167310,Major Lazer:Sua Cara (feat. Anitta & Pabllo Vittar),0,,
7228,2021-08-29 19:28,Major Lazer,All My Love (feat. Ariana Grande & Machel Montano) [Remix],24929,Major Lazer:All My Love (feat. Ariana Grande & Machel Montano) [Remix],0,,
7229,2021-09-01 09:41,Major Lazer,Lean On (feat. MØ & DJ Snake),3203,Major Lazer:Lean On (feat. MØ & DJ Snake),0,,
7230,2021-09-01 09:43,Major Lazer,Sweat,1989,Major Lazer:Sweat,0,,
7231,2021-09-01 09:43,Burak Yeter,My Life Is Going On - Burak Yeter Remix,1751,Burak Yeter:My Life Is Going On - Burak Yeter Remix,0,,
7232,2021-09-01 09:43,Next Habit,Identical (feat. Yeah Boy),1401,Next Habit:Identical (feat. Yeah Boy),0,,
7233,2021-09-01 09:43,Vintage Culture,Free,121778,Vintage Culture:Free,0,,
7234,2021-09-01 09:43,Ehrling,Elephant in the Room,8583,Ehrling:Elephant in the Room,0,,
7235,2021-09-01 09:43,Jax Jones,Feels,2063,Jax Jones:Feels,0,,
7236,2021-09-01 09:43,Tom Gregory,River,883,Tom Gregory:River,0,,
7237,2021-09-01 09:43,Gorgon City,You've Done Enough,1908,Gorgon City:You've Done Enough,0,,
7238,2021-09-01 09:44,Dyrigent,Rainbows (feat. Julian Easily),37079,Dyrigent:Rainbows (feat. Julian Easily),0,,
7239,2021-09-01 09:47,Major Lazer,Too Original (feat. Elliphant & Jovi Rockwell),207395,Major Lazer:Too Original (feat. Elliphant & Jovi Rockwell),0,,
7240,2021-09-01 10:24,R3HAB,Downtown (with Kelvin Jones) - All That MTRS Remix,5433,R3HAB:Downtown (with Kelvin Jones) - All That MTRS Remix,0,,
7241,2021-09-01 11:42,R3HAB,Downtown (with Kelvin Jones) - All That MTRS Remix,157448,R3HAB:Downtown (with Kelvin Jones) - All That MTRS Remix,0,,
7242,2021-09-01 12:16,twocolors,Lovefool,161451,twocolors:Lovefool,0,,
7243,2021-09-02 05:42,Major Lazer,Lose Yourself (feat. RDX & Moska),196378,Major Lazer:Lose Yourself (feat. RDX & Moska),0,,
7244,2021-09-02 05:45,David Zowie,House Every Weekend - Radio Edit,182352,David Zowie:House Every Weekend - Radio Edit,0,,
7245,2021-09-02 05:48,Sam Feldt,The Riddle (feat. Lateshift),187013,Sam Feldt:The Riddle (feat. Lateshift),0,,
7246,2021-09-02 05:51,Gorgon City,You've Done Enough,212997,Gorgon City:You've Done Enough,0,,
7247,2021-09-02 05:55,Skallee & Wagz,Same Page - Anto & Lyle M Radio Edit,192672,Skallee & Wagz:Same Page - Anto & Lyle M Radio Edit,0,,
7248,2021-09-02 05:57,Alan Walker,Sweet Dreams,138512,Alan Walker:Sweet Dreams,0,,
7249,2021-09-02 06:01,Ape Drums,The Way We Do This (feat. Major Lazer & Busy Signal),230593,Ape Drums:The Way We Do This (feat. Major Lazer & Busy Signal),0,,
7250,2021-09-02 06:04,Hardwell,Off The Hook,176562,Hardwell:Off The Hook,0,,
7251,2021-09-02 06:07,Burak Yeter,My Life Is Going On - Burak Yeter Remix,225771,Burak Yeter:My Life Is Going On - Burak Yeter Remix,0,,
